datetime,temperature,humidity,pressure,altitude,latitude,longitude
2021-10-26 15:40:50.284315,29.11,62.53,1005.5,64.72,10.3,79.8
2021-10-26 15:45:49.214095,28.95,62.3,1005.49,64.83,10.3,79.8
2021-10-26 15:50:49.139410,29.04,63.25,1005.55,64.32,10.3,79.8
2021-10-26 15:55:49.178185,29.32,63.45,1005.69,63.11,10.3,79.8
2021-10-26 16:00:49.229783,29.27,62.41,1005.77,62.37,10.3,79.8
2021-10-26 16:05:50.885525,29.33,63.52,1005.85,61.76,10.3,79.8
2021-10-26 16:10:49.199224,29.27,64.63,1005.85,61.79,10.3,79.8
2021-10-26 16:15:49.332873,29.32,65.67,1005.8,62.24,10.3,79.8
2021-10-26 16:20:49.182826,29.33,66.01,1005.77,62.48,10.3,79.8
2021-10-26 16:25:49.219409,29.42,66.43,1005.82,62.03,10.3,79.8
2021-10-26 16:30:50.775108,29.36,66.77,1005.89,61.45,10.3,79.8
2021-10-26 16:35:50.837927,29.35,67.17,1005.89,61.44,10.3,79.8
2021-10-26 16:40:49.211442,29.33,67.46,1005.9,61.36,10.3,79.8
2021-10-26 16:45:49.174754,29.35,68.38,1005.8,62.21,10.3,79.8
2021-10-26 16:50:50.839453,29.38,68.38,1005.85,61.8,10.3,79.8
2021-10-26 16:55:49.346276,29.47,68.5,1005.87,61.64,10.3,79.8
2021-10-26 17:00:50.409347,29.49,68.73,1005.89,61.48,10.3,79.8
2021-10-26 17:05:51.477946,29.46,68.53,1005.88,61.56,10.3,79.8
2021-10-26 17:10:52.536751,29.49,69.03,1005.89,61.42,10.3,79.8
2021-10-26 17:15:53.613760,29.38,69.9,1005.93,61.08,10.3,79.8
2021-10-26 17:20:54.666315,29.35,70.33,1005.96,60.89,10.3,79.8
2021-10-26 17:25:50.715938,29.32,71.24,1006.04,60.23,10.3,79.8
2021-10-26 17:30:51.783283,29.28,71.53,1006.18,59.06,10.3,79.8
2021-10-26 19:04:15.804690,29.04,74.2,1007.69,46.39,10.3,79.8
2021-10-26 19:04:21.753252,29.05,74.11,1007.72,46.11,10.3,79.8
2021-10-26 19:46:55.904166,28.46,77.21,1008.38,40.64,10.3,79.8
2021-10-26 19:50:49.194927,28.81,75.88,1008.44,40.15,10.3,79.8
2021-10-26 19:55:50.875169,28.88,75.77,1008.55,39.21,10.3,79.8
2021-10-26 20:00:49.155394,28.83,75.75,1008.68,38.09,10.3,79.8
2021-10-26 20:05:49.224199,28.84,75.43,1008.73,37.67,10.3,79.8
2021-10-26 20:10:49.176168,28.86,75.57,1008.84,36.75,10.3,79.8
2021-10-26 20:15:50.855123,28.89,75.6,1008.92,36.15,10.3,79.8
2021-10-26 20:20:49.250056,28.64,75.57,1009.03,35.2,10.3,79.8
2021-10-26 20:25:49.210434,28.65,75.28,1009.1,34.57,10.3,79.8
2021-10-26 20:30:49.138318,28.69,75.45,1009.14,34.31,10.3,79.8
2021-10-26 20:35:49.188309,29.04,74.74,1009.23,33.49,10.3,79.8
