datetime,temperature,humidity,pressure,altitude,wind_speed_km_h,wind_direction,gust,description,latitude,longitude
2021-10-28 16:00:00.704612,30.68,63.44,1005.92,61.21,4.91,N,7.1,overcast clouds,10.3,79.8
2021-10-28 17:00:01.445610,30.38,64.36,1006.55,55.93,3.7,NNE,5.86,overcast clouds,10.3,79.8
2021-10-28 18:00:01.222018,30.12,66.01,1007.18,50.67,3.37,NE,5.92,overcast clouds,10.3,79.8
2021-10-28 19:00:01.184704,29.88,67.11,1008.17,42.4,2.95,NE,5.98,overcast clouds,10.3,79.8
2021-10-28 20:00:01.327606,29.52,68.69,1009.1,34.57,2.94,NNE,6.27,broken clouds,10.3,79.8
2021-10-28 21:00:02.827435,29.39,70.43,1009.39,32.16,2.98,N,6.43,broken clouds,10.3,79.8
2021-10-28 22:00:01.376734,29.7,70.61,1009.27,33.23,2.97,N,6.23,broken clouds,10.3,79.8
2021-10-28 23:00:01.531559,29.75,69.35,1008.54,39.25,3.5,N,8.25,broken clouds,10.3,79.8
2021-10-29 00:00:01.841334,29.68,67.88,1008.81,37.04,4.71,N,11.53,light rain,10.3,79.8
2021-10-29 01:00:01.796598,29.65,67.78,1007.93,44.4,4.88,N,11.55,overcast clouds,10.3,79.8
2021-10-29 02:00:01.386424,29.59,69.1,1007.28,49.79,4.55,N,10.86,overcast clouds,10.3,79.8
2021-10-29 03:00:01.849501,29.51,70.11,1007.58,47.28,4.24,N,9.89,heavy intensity rain,10.3,79.8
2021-10-29 04:00:01.796143,29.34,70.41,1007.76,45.8,4.22,N,9.71,heavy intensity rain,10.3,79.8
2021-10-29 05:00:01.240662,29.31,70.23,1008.43,40.19,4.45,N,9.51,moderate rain,10.3,79.8
2021-10-29 06:00:01.344703,29.22,70.76,1008.86,36.63,4.46,NNW,9.73,overcast clouds,10.3,79.8
2021-10-29 07:00:03.513646,28.24,74.43,1009.44,31.79,4.75,NNW,9.63,very heavy rain,10.3,79.8
2021-10-29 08:00:01.390271,27.45,77.5,1010.48,22.97,5.25,NNW,8.98,overcast clouds,10.3,79.8
2021-10-29 09:00:01.502150,27.85,77.51,1010.32,24.39,6.01,N,8.16,overcast clouds,10.3,79.8
2021-10-29 10:00:03.149753,28.63,75.1,1010.77,20.69,6.48,N,7.07,overcast clouds,10.3,79.8
2021-10-29 11:00:01.718459,29.59,73.52,1010.31,24.54,6.02,N,6.23,light rain,10.3,79.8
2021-10-29 12:00:02.840453,29.95,73.27,1009.06,34.96,5.8,N,6.14,light rain,10.3,79.8
2021-10-29 13:00:02.136411,29.97,73.38,1007.88,44.85,5.33,NNW,5.4,overcast clouds,10.3,79.8
